symbol,timeframe,openTime,open,high,low,close,volume
XAUUSD,H1,2025-01-01T01:00:00,2650.0,2657.59,2645.88,2656.34,2191.75
XAUUSD,H1,2025-01-01T02:00:00,2656.34,2657.83,2653.97,2657.34,574.49
XAUUSD,H1,2025-01-01T03:00:00,2657.34,2658.45,2651.84,2655.48,1862.35
XAUUSD,H1,2025-01-01T04:00:00,2655.48,2658.78,2650.89,2655.42,516.25
XAUUSD,H1,2025-01-01T05:00:00,2655.42,2656.29,2647.72,2653.08,1341.49
XAUUSD,H1,2025-01-01T06:00:00,2653.08,2653.63,2641.43,2646.17,2009.32
XAUUSD,H1,2025-01-01T07:00:00,2646.17,2651.62,2642.79,2644.91,1880.1
XAUUSD,H1,2025-01-01T08:00:00,2644.91,2648.38,2630.25,2635.08,1943.38
XAUUSD,H1,2025-01-01T09:00:00,2635.08,2642.22,2634.63,2640.6,1081.98
XAUUSD,H1,2025-01-01T10:00:00,2640.6,2643.79,2637.04,2642.23,1412.08
XAUUSD,H1,2025-01-01T11:00:00,2642.23,2649.07,2638.6,2643.82,2022.83
XAUUSD,H1,2025-01-01T12:00:00,2643.82,2654.01,2642.91,2649.92,1448.64
XAUUSD,H1,2025-01-01T13:00:00,2649.92,2653.76,2638.7,2643.42,2440.0
XAUUSD,H1,2025-01-01T14:00:00,2643.42,2643.6,2633.79,2635.55,1169.35
XAUUSD,H1,2025-01-01T15:00:00,2635.55,2652.63,2631.88,2650.87,1489.08
XAUUSD,H1,2025-01-01T16:00:00,2650.87,2653.44,2643.65,2645.13,1116.57
XAUUSD,H1,2025-01-01T17:00:00,2645.13,2650.16,2642.05,2644.28,1048.3
XAUUSD,H1,2025-01-01T18:00:00,2644.28,2657.71,2643.77,2654.85,617.79
XAUUSD,H1,2025-01-01T19:00:00,2654.85,2657.22,2644.63,2644.98,1454.05
XAUUSD,H1,2025-01-01T20:00:00,2644.98,2647.95,2629.37,2634.8,2651.95
XAUUSD,H1,2025-01-01T21:00:00,2634.8,2637.81,2631.1,2632.59,2102.4
XAUUSD,H1,2025-01-01T22:00:00,2632.59,2635.03,2618.16,2620.7,2884.54
XAUUSD,H1,2025-01-01T23:00:00,2620.7,2621.7,2614.8,2619.91,2676.3
XAUUSD,H1,2025-01-02T01:00:00,2619.91,2632.89,2616.5,2629.31,882.1
XAUUSD,H1,2025-01-02T02:00:00,2629.31,2632.28,2615.84,2615.84,1310.39
XAUUSD,H1,2025-01-02T03:00:00,2615.84,2621.05,2607.53,2612.45,2579.16
XAUUSD,H1,2025-01-02T04:00:00,2612.45,2633.09,2611.97,2627.79,1714.98
XAUUSD,H1,2025-01-02T05:00:00,2627.79,2637.9,2623.5,2633.64,820.98
XAUUSD,H1,2025-01-02T06:00:00,2633.64,2638.52,2625.3,2627.67,1029.5
XAUUSD,H1,2025-01-02T07:00:00,2627.67,2631.75,2624.61,2625.74,1279.29
XAUUSD,H1,2025-01-02T08:00:00,2625.74,2628.64,2620.01,2620.69,1061.74
XAUUSD,H1,2025-01-02T09:00:00,2620.69,2623.98,2612.46,2613.75,1050.54
XAUUSD,H1,2025-01-02T10:00:00,2613.75,2618.82,2605.02,2609.84,677.14
XAUUSD,H1,2025-01-02T11:00:00,2609.84,2613.58,2604.41,2605.61,830.78
XAUUSD,H1,2025-01-02T12:00:00,2605.61,2610.01,2592.94,2597.46,976.02
XAUUSD,H1,2025-01-02T13:00:00,2597.46,2599.87,2591.19,2593.56,1667.56
XAUUSD,H1,2025-01-02T14:00:00,2593.56,2594.11,2580.65,2582.9,1348.26
XAUUSD,H1,2025-01-02T15:00:00,2582.9,2584.3,2561.44,2562.5,1621.53
XAUUSD,H1,2025-01-02T16:00:00,2562.5,2567.67,2558.96,2561.44,2653.37
XAUUSD,H1,2025-01-02T17:00:00,2561.44,2567.71,2555.84,2567.42,2590.07
XAUUSD,H1,2025-01-02T18:00:00,2567.42,2582.28,2564.7,2581.35,1034.37
XAUUSD,H1,2025-01-02T19:00:00,2581.35,2581.68,2572.3,2574.43,2963.27
XAUUSD,H1,2025-01-02T20:00:00,2574.43,2578.68,2569.07,2576.31,2988.56
XAUUSD,H1,2025-01-02T21:00:00,2576.31,2580.34,2566.85,2567.72,1241.77
XAUUSD,H1,2025-01-02T22:00:00,2567.72,2571.9,2558.62,2558.94,1960.44
XAUUSD,H1,2025-01-02T23:00:00,2558.94,2563.72,2553.31,2554.19,2901.95
XAUUSD,H1,2025-01-03T01:00:00,2554.19,2562.21,2552.87,2558.43,799.72
XAUUSD,H1,2025-01-03T02:00:00,2558.43,2569.72,2555.1,2568.34,2048.45
XAUUSD,H1,2025-01-03T03:00:00,2568.34,2573.58,2558.8,2559.94,2290.48
XAUUSD,H1,2025-01-03T04:00:00,2559.94,2562.16,2551.31,2555.08,1249.99
XAUUSD,H1,2025-01-03T05:00:00,2555.08,2557.7,2549.48,2555.13,2990.24
XAUUSD,H1,2025-01-03T06:00:00,2555.13,2556.33,2550.56,2552.05,2833.15
XAUUSD,H1,2025-01-03T07:00:00,2552.05,2558.53,2547.38,2557.64,2258.85
XAUUSD,H1,2025-01-03T08:00:00,2557.64,2563.17,2548.71,2552.38,519.56
XAUUSD,H1,2025-01-03T09:00:00,2552.38,2557.63,2548.04,2548.79,788.57
XAUUSD,H1,2025-01-03T10:00:00,2548.79,2563.15,2547.27,2560.05,2012.07
XAUUSD,H1,2025-01-03T11:00:00,2560.05,2564.81,2557.32,2563.33,2763.34
XAUUSD,H1,2025-01-03T12:00:00,2563.33,2574.73,2560.96,2574.22,1191.7
XAUUSD,H1,2025-01-03T13:00:00,2574.22,2578.37,2567.24,2570.33,1569.22
XAUUSD,H1,2025-01-03T14:00:00,2570.33,2570.76,2560.84,2565.78,2759.82
XAUUSD,H1,2025-01-03T15:00:00,2565.78,2572.15,2565.07,2571.32,1270.65
XAUUSD,H1,2025-01-03T16:00:00,2571.32,2575.78,2557.56,2562.38,2747.31
XAUUSD,H1,2025-01-03T17:00:00,2562.38,2566.94,2557.43,2562.57,1515.94
XAUUSD,H1,2025-01-03T18:00:00,2562.57,2567.35,2557.37,2566.48,2661.51
XAUUSD,H1,2025-01-03T19:00:00,2566.48,2572.95,2562.36,2572.82,1330.46
XAUUSD,H1,2025-01-03T20:00:00,2572.82,2577.31,2552.82,2557.66,2526.87
XAUUSD,H1,2025-01-03T21:00:00,2557.66,2563.62,2552.86,2558.74,1056.08
XAUUSD,H1,2025-01-03T22:00:00,2558.74,2561.31,2553.49,2555.19,2488.36
XAUUSD,H1,2025-01-03T23:00:00,2555.19,2562.4,2550.35,2560.56,2917.22
XAUUSD,H1,2025-01-06T01:00:00,2560.56,2565.11,2558.32,2561.52,2952.87
XAUUSD,H1,2025-01-06T02:00:00,2561.52,2570.81,2560.52,2565.37,2906.34
XAUUSD,H1,2025-01-06T03:00:00,2565.37,2565.98,2561.64,2564.08,2321.36
XAUUSD,H1,2025-01-06T04:00:00,2564.08,2566.23,2553.51,2556.74,1136.81
XAUUSD,H1,2025-01-06T05:00:00,2556.74,2556.74,2545.81,2550.99,1846.13
XAUUSD,H1,2025-01-06T06:00:00,2550.99,2553.03,2550.18,2550.57,2160.59
XAUUSD,H1,2025-01-06T07:00:00,2550.57,2552.33,2534.1,2538.85,2299.39
XAUUSD,H1,2025-01-06T08:00:00,2538.85,2541.1,2534.39,2536.05,818.22
XAUUSD,H1,2025-01-06T09:00:00,2536.05,2549.13,2532.25,2543.87,2757.01
XAUUSD,H1,2025-01-06T10:00:00,2543.87,2543.87,2539.27,2540.88,1574.72
XAUUSD,H1,2025-01-06T11:00:00,2540.88,2554.3,2538.27,2550.63,1605.4
XAUUSD,H1,2025-01-06T12:00:00,2550.63,2555.09,2532.9,2533.85,711.99
XAUUSD,H1,2025-01-06T13:00:00,2533.85,2540.46,2531.97,2536.92,2546.06
XAUUSD,H1,2025-01-06T14:00:00,2536.92,2538.03,2534.31,2534.44,1112.11
XAUUSD,H1,2025-01-06T15:00:00,2534.44,2539.2,2529.17,2529.58,1536.1
XAUUSD,H1,2025-01-06T16:00:00,2529.58,2536.76,2528.21,2533.99,2140.15
XAUUSD,H1,2025-01-06T17:00:00,2533.99,2549.99,2529.68,2545.78,766.47
XAUUSD,H1,2025-01-06T18:00:00,2545.78,2557.91,2545.5,2555.01,1123.0
XAUUSD,H1,2025-01-06T19:00:00,2555.01,2575.75,2550.52,2573.19,2168.94
XAUUSD,H1,2025-01-06T20:00:00,2573.19,2578.18,2553.77,2557.2,2298.18
XAUUSD,H1,2025-01-06T21:00:00,2557.2,2561.85,2543.26,2546.33,2743.02
XAUUSD,H1,2025-01-06T22:00:00,2546.33,2547.71,2536.82,2540.39,2414.53
XAUUSD,H1,2025-01-06T23:00:00,2540.39,2545.07,2538.86,2541.56,693.71
XAUUSD,H1,2025-01-07T01:00:00,2541.56,2544.58,2540.01,2540.79,1078.15
XAUUSD,H1,2025-01-07T02:00:00,2540.79,2551.89,2540.43,2547.93,1519.0
